pair_id,title_clean,category_tag,sport,similarity_score,poly_market_id,poly_slug,poly_url,kalshi_market_id,kalshi_url,poly_event_url,poly_outcomes_json,poly_token_ids_json,poly_primary_outcome,expiry_poly_utc,expiry_kalshi_utc,resolution_time_utc,kalshi_t2_ticker,kalshi_tie_ticker
150,udvardy grant,sports_fees_v2,Tennis,1.0,2034485,wta-udvardy-grant-2026-04-21,https://polymarket.com/event/wta-udvardy-grant-2026-04-21,KXWTAMATCH-26APR21UDVGRA-UDV,https://kalshi.com/markets/KXWTAMATCH-26APR21UDVGRA-UDV,https://polymarket.com/event/wta-udvardy-grant-2026-04-21,"[""Panna Udvardy"", ""Tyra Caterina Grant""]","[""109793757742362227644168269305307886405212152022189343085213026358057938203554"", ""85898869206647251037512453330213755917932817680932754692102150482717643679994""]",Panna Udvardy,2026-04-28,2026-05-05T08:00:00Z,2026-04-28,,
151,udvardy grant,sports_fees_v2,Tennis,1.0,2034485,wta-udvardy-grant-2026-04-21,https://polymarket.com/event/wta-udvardy-grant-2026-04-21,KXWTAMATCH-26APR21UDVGRA-GRA,https://kalshi.com/markets/KXWTAMATCH-26APR21UDVGRA-GRA,https://polymarket.com/event/wta-udvardy-grant-2026-04-21,"[""Tyra Caterina Grant"", ""Panna Udvardy""]","[""85898869206647251037512453330213755917932817680932754692102150482717643679994"", ""109793757742362227644168269305307886405212152022189343085213026358057938203554""]",Tyra Caterina Grant,2026-04-28,2026-05-05T08:00:00Z,2026-04-28,,
152,masur kwon,sports_fees_v2,Tennis,1.0,2034488,atp-masur-kwon-2026-04-20,https://polymarket.com/event/atp-masur-kwon-2026-04-20,KXATPCHALLENGERMATCH-26APR20MASKWON-MAS,https://kalshi.com/markets/KXATPCHALLENGERMATCH-26APR20MASKWON-MAS,https://polymarket.com/event/atp-masur-kwon-2026-04-20,"[""Daniel Masur"", ""Soon-Woo Kwon""]","[""59325891561889331860529340793168229409679339868250639035218031265910663970640"", ""45147637519882360252796247289328681479275163722936491403134814228839427666990""]",Daniel Masur,2026-04-28,2026-05-05T03:10:00Z,2026-04-28,,
153,masur kwon,sports_fees_v2,Tennis,1.0,2034488,atp-masur-kwon-2026-04-20,https://polymarket.com/event/atp-masur-kwon-2026-04-20,KXATPCHALLENGERMATCH-26APR20MASKWON-KWON,https://kalshi.com/markets/KXATPCHALLENGERMATCH-26APR20MASKWON-KWON,https://polymarket.com/event/atp-masur-kwon-2026-04-20,"[""Soon-Woo Kwon"", ""Daniel Masur""]","[""45147637519882360252796247289328681479275163722936491403134814228839427666990"", ""59325891561889331860529340793168229409679339868250639035218031265910663970640""]",Soon-Woo Kwon,2026-04-28,2026-05-05T03:10:00Z,2026-04-28,,
154,volynets korpatsch,sports_fees_v2,Tennis,1.0,2034489,wta-volynet-korpats-2026-04-21,https://polymarket.com/event/wta-volynet-korpats-2026-04-21,KXWTAMATCH-26APR21VOLKOR-KOR,https://kalshi.com/markets/KXWTAMATCH-26APR21VOLKOR-KOR,https://polymarket.com/event/wta-volynet-korpats-2026-04-21,"[""Tamara Korpatsch"", ""Katie Volynets""]","[""64475078052564930368320191286028574758018657909806361511171524519306148305720"", ""63011301540257834001719171231270779424862993644933265368761518371875403762545""]",Tamara Korpatsch,2026-04-28,2026-05-05T08:00:00Z,2026-04-28,,
155,broady zhukayev,sports_fees_v2,Tennis,1.0,2034498,atp-broady-zhukaye-2026-04-20,https://polymarket.com/event/atp-broady-zhukaye-2026-04-20,KXATPCHALLENGERMATCH-26APR20BROZHU-ZHU,https://kalshi.com/markets/KXATPCHALLENGERMATCH-26APR20BROZHU-ZHU,https://polymarket.com/event/atp-broady-zhukaye-2026-04-20,"[""Beibit Zhukayev"", ""Liam Broady""]","[""8082635193710740913166864374387718459155395998193465147979302547712878336755"", ""49677954481786233102387204948734200999596873701202665093276334078456684398125""]",Beibit Zhukayev,2026-04-28,2026-05-05T03:10:00Z,2026-04-28,,
156,broady zhukayev,sports_fees_v2,Tennis,1.0,2034498,atp-broady-zhukaye-2026-04-20,https://polymarket.com/event/atp-broady-zhukaye-2026-04-20,KXATPCHALLENGERMATCH-26APR20BROZHU-BRO,https://kalshi.com/markets/KXATPCHALLENGERMATCH-26APR20BROZHU-BRO,https://polymarket.com/event/atp-broady-zhukaye-2026-04-20,"[""Liam Broady"", ""Beibit Zhukayev""]","[""49677954481786233102387204948734200999596873701202665093276334078456684398125"", ""8082635193710740913166864374387718459155395998193465147979302547712878336755""]",Liam Broady,2026-04-28,2026-05-05T03:10:00Z,2026-04-28,,
157,starodubtseva pavlyuchenkova,sports_fees_v2,Tennis,1.0,2034499,wta-starodu-pavlyuc-2026-04-21,https://polymarket.com/event/wta-starodu-pavlyuc-2026-04-21,KXWTAMATCH-26APR21STAPAV-STA,https://kalshi.com/markets/KXWTAMATCH-26APR21STAPAV-STA,https://polymarket.com/event/wta-starodu-pavlyuc-2026-04-21,"[""Yulia Starodubtseva"", ""Anastasia Pavlyuchenkova""]","[""63850146365634654173061706811003869360459366413637150712651185028882958840267"", ""94016480742592449350927727876221861826368993673025734009544709681627328769142""]",Yulia Starodubtseva,2026-04-28,2026-05-05T11:20:00Z,2026-04-28,,
158,galfi vidmanova,sports_fees_v2,Tennis,1.0,2034514,wta-galfi-vidmano-2026-04-21,https://polymarket.com/event/wta-galfi-vidmano-2026-04-21,KXWTAMATCH-26APR21GALVID-GAL,https://kalshi.com/markets/KXWTAMATCH-26APR21GALVID-GAL,https://polymarket.com/event/wta-galfi-vidmano-2026-04-21,"[""Dalma Galfi"", ""Darja Vidmanova""]","[""35550448208866538635454206654955013882196287648669235058858083373024213789499"", ""90359071038788930433472748925728966324328225580030309953504423337209980176582""]",Dalma Galfi,2026-04-28,2026-05-05T12:30:00Z,2026-04-28,,
159,galfi vidmanova,sports_fees_v2,Tennis,1.0,2034514,wta-galfi-vidmano-2026-04-21,https://polymarket.com/event/wta-galfi-vidmano-2026-04-21,KXWTAMATCH-26APR21GALVID-VID,https://kalshi.com/markets/KXWTAMATCH-26APR21GALVID-VID,https://polymarket.com/event/wta-galfi-vidmano-2026-04-21,"[""Darja Vidmanova"", ""Dalma Galfi""]","[""90359071038788930433472748925728966324328225580030309953504423337209980176582"", ""35550448208866538635454206654955013882196287648669235058858083373024213789499""]",Darja Vidmanova,2026-04-28,2026-05-05T12:30:00Z,2026-04-28,,
